"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8"
"0","a","c","b","e","e","g","g","h","g","g","f","d","e","b","d","a"
"1","a","e","b","f","e","g","g","h","g","f","f","d","e","b","d","a"
"2","a","d","b","e","e","g","h","h","g","f","f","d","d","b","d","a"
"3","a","f","c","h","g","h","f","f","e","c","b","b","d","b","h","b"
"4","a","e","c","f","f","g","g","g","f","f","e","d","e","b","e","a"
"5","a","e","d","f","g","h","h","g","g","e","e","c","c","b","b","a"
"6","a","f","c","f","g","h","g","g","f","e","f","c","e","b","d","a"
"7","a","c","b","e","f","g","h","h","g","f","e","d","d","b","d","a"
"8","b","f","e","g","g","h","e","f","d","c","a","b","d","b","h","b"
"9","b","d","b","f","f","g","h","h","g","f","e","d","c","b","b","a"
"10","a","b","c","d","f","f","h","h","g","g","e","e","c","c","b","a"
"11","a","e","b","g","g","h","f","g","d","e","d","c","e","b","g","a"
"12","b","g","d","g","e","h","d","f","e","c","h","b","e","b","a","a"
"13","a","e","e","f","h","h","g","g","e","e","c","c","c","b","d","a"
"14","a","e","a","e","d","g","f","h","g","g","f","d","f","b","f","a"
"15","a","e","c","f","f","h","f","g","e","e","e","c","f","a","h","a"
"16","b","f","f","g","h","h","f","f","f","d","e","b","a","a","b","a"
"17","a","b","b","c","d","f","g","g","h","h","g","f","e","c","d","a"
"18","h","h","g","g","f","f","d","e","c","d","b","c","b","b","b","a"
"19","a","c","b","e","f","g","h","h","g","g","e","d","d","b","d","a"
"20","a","e","a","f","e","g","g","g","f","e","f","c","f","b","f","a"
"21","a","c","c","e","f","g","h","h","g","f","f","d","d","b","b","a"
"22","a","g","e","h","f","h","f","f","f","c","b","b","b","b","h","b"
"23","f","g","h","h","g","g","f","f","d","d","b","c","a","b","a","a"
"24","a","f","c","g","h","h","h","g","g","e","e","c","c","b","b","a"
"25","a","e","b","f","e","g","g","g","g","f","f","c","e","b","f","a"
"26","b","f","e","h","f","h","e","e","f","c","a","b","c","b","h","b"
"27","h","h","h","g","f","f","e","e","c","d","b","c","b","b","b","a"
"28","h","g","g","h","f","g","e","e","d","d","c","c","b","b","a","a"
"29","a","c","b","e","e","g","h","h","g","g","f","d","d","b","c","a"
"30","a","d","c","e","g","g","h","h","g","f","e","d","c","b","b","a"
"31","a","e","d","g","h","h","g","g","e","e","c","c","c","b","d","a"
"32","a","d","b","e","e","g","g","h","f","f","f","d","e","b","f","a"
"33","h","g","e","h","c","g","c","f","d","d","d","c","c","b","c","a"
"34","e","f","f","g","h","h","g","f","e","e","c","c","a","b","a","a"
"35","a","f","d","g","h","h","g","f","f","e","e","c","c","b","b","a"
"36","a","f","b","e","e","f","g","h","g","f","f","d","e","b","d","a"
"37","c","g","g","h","f","g","e","d","d","b","a","b","d","b","h","b"
"38","a","e","b","f","d","h","e","g","f","e","f","c","f","b","h","a"
"39","a","e","b","f","g","h","h","g","g","e","e","c","d","b","d","a"
"40","a","c","b","d","e","f","g","g","h","h","f","e","e","b","d","a"
"41","a","c","b","e","e","g","g","h","h","g","f","e","e","b","c","a"
"42","b","c","e","e","g","g","h","h","f","f","d","d","b","b","a","a"
"43","a","e","b","f","f","g","g","h","f","f","e","c","e","b","f","a"
"44","a","f","d","g","g","h","g","f","f","b","b","b","b","b","g","b"
"45","g","f","b","f","h","g","h","g","f","e","c","c","b","b","a","a"
"46","a","h","e","g","g","g","g","e","g","d","f","c","d","b","a","a"
"47","c","f","g","g","g","h","e","f","c","c","a","b","c","b","h","b"
"48","a","e","d","f","h","g","h","g","f","f","d","d","c","b","b","a"
"49","a","f","c","g","d","h","d","f","e","e","f","c","g","a","g","a"
"50","a","e","a","f","d","g","f","g","f","f","f","c","g","b","g","a"
"51","a","f","c","f","f","h","g","g","g","e","f","c","e","b","d","a"
"52","b","e","d","f","g","h","g","g","e","e","e","b","a","a","g","b"
"53","a","f","b","f","f","g","h","g","g","f","e","c","d","b","d","a"
"54","a","d","b","e","d","g","g","h","g","g","g","d","e","b","e","a"
"55","h","h","g","g","f","f","e","e","e","d","c","c","a","b","a","a"
"56","a","d","b","f","f","g","h","h","g","f","f","d","d","b","c","a"
"57","b","f","d","f","f","h","f","f","f","c","h","b","e","b","a","b"
"58","a","d","a","e","d","g","h","h","h","g","f","d","d","b","c","a"
"59","c","e","f","g","h","h","g","g","e","d","c","b","a","a","b","a"
"60","a","c","b","e","d","g","g","h","f","g","f","d","f","b","f","a"
"61","c","g","b","e","f","h","d","g","e","d","e","a","a","b","h","b"
"62","a","f","e","h","f","h","f","f","f","c","b","b","b","b","h","b"
"63","c","e","a","e","d","g","h","h","g","f","f","d","d","b","d","a"
"64","a","d","c","f","g","g","h","h","g","f","e","d","c","b","b","a"
"65","a","f","c","g","h","h","g","f","f","e","d","c","d","a","e","a"
"66","c","d","a","f","c","g","g","g","f","f","e","d","e","b","g","a"
"67","a","d","a","e","c","f","f","g","h","g","g","e","e","b","e","a"
"68","a","c","b","e","e","g","g","h","g","g","f","d","e","b","e","a"
"69","a","e","d","f","g","g","h","g","g","f","e","c","c","b","b","a"
"70","c","f","e","h","e","g","e","d","g","b","h","b","c","b","a","b"
"71","a","f","d","g","f","h","e","f","e","d","f","b","c","a","h","a"
"72","a","e","b","g","g","h","h","g","g","e","e","c","d","a","c","a"
"73","a","e","d","g","h","h","g","g","e","e","d","c","c","b","e","a"
"74","a","f","d","g","f","h","f","f","e","c","b","b","c","b","h","b"
"75","a","e","c","f","g","h","g","g","f","e","e","c","d","b","e","a"
"76","c","f","c","g","h","h","h","f","f","e","d","c","b","b","a","a"
"77","c","f","g","g","g","h","g","f","f","d","e","b","a","a","a","a"
"78","b","d","e","f","h","h","g","g","f","f","d","c","b","b","a","a"
"79","b","g","e","h","d","g","c","e","e","b","h","b","f","b","a","b"
"80","b","f","d","h","d","g","d","d","b","b","c","b","g","b","h","b"
"81","b","f","f","g","g","h","f","f","f","c","c","b","a","b","g","b"
"82","d","g","d","g","e","h","d","e","c","b","a","b","e","b","h","b"
"83","a","e","c","g","g","h","g","g","e","d","d","b","b","a","g","b"
"84","a","h","f","g","g","g","g","e","f","d","f","c","c","b","c","a"
"85","a","d","b","f","f","g","g","g","f","f","e","d","e","b","f","a"
"86","a","e","b","f","e","g","g","h","g","f","f","c","f","b","f","a"
"87","b","g","e","h","e","g","e","d","c","b","a","b","f","b","h","b"
"88","a","e","b","f","e","g","h","h","g","f","f","d","d","b","c","a"
"89","c","g","g","h","g","g","f","e","f","c","e","b","a","b","e","b"
"90","a","e","b","g","f","h","g","g","f","e","f","c","e","b","f","a"
"91","a","d","a","d","d","g","g","h","h","g","g","d","e","b","d","a"
"92","h","g","d","h","b","g","b","f","c","d","c","c","d","b","g","a"
"93","a","e","b","f","g","g","g","g","f","f","d","c","d","b","f","a"
"94","h","h","h","g","f","f","e","e","d","d","c","c","b","b","a","a"
"95","e","g","g","h","f","g","e","e","c","c","a","b","c","b","h","b"
"96","b","f","e","g","h","h","g","f","f","d","e","b","a","a","b","a"
"97","c","g","f","h","g","g","e","d","c","b","a","b","d","b","h","b"
"98","a","d","b","e","d","g","g","h","g","f","f","d","f","b","f","a"
"99","a","c","a","e","f","g","h","h","g","f","f","d","d","b","c","a"
"100","a","e","e","g","h","h","g","g","f","d","f","b","a","b","c","b"
"101","a","c","b","d","f","g","h","h","g","g","e","e","c","b","b","a"
"102","c","g","f","h","g","h","e","f","d","c","b","b","a","b","h","b"
"103","e","g","g","h","f","g","d","d","b","b","a","b","d","b","h","b"
"104","a","f","e","g","h","h","g","f","f","e","d","c","c","b","a","a"
"105","a","e","b","f","e","g","g","g","g","f","f","c","e","b","f","a"
"106","a","c","c","d","f","g","h","h","g","g","e","e","c","b","b","a"
"107","a","e","c","f","g","h","f","g","f","e","f","b","b","a","f","b"
"108","f","g","d","f","d","g","d","h","e","e","g","b","a","a","g","a"
"109","a","e","d","g","g","h","h","g","g","e","e","c","c","b","b","a"
"110","a","e","c","f","g","g","h","g","g","e","e","c","b","b","b","a"
"111","a","c","b","d","d","g","g","h","g","g","f","e","e","b","e","a"
"112","d","g","e","h","d","g","d","e","c","b","a","b","e","b","h","b"
"113","c","h","c","f","d","f","c","g","d","c","c","a","e","b","h","b"
"114","a","d","c","f","g","h","f","g","f","f","f","c","f","b","e","a"
"115","a","f","d","g","g","h","f","f","f","c","c","b","c","b","h","b"
"116","b","g","e","h","f","h","e","e","c","b","a","b","e","b","h","b"
"117","a","g","d","h","e","g","d","e","d","b","h","b","g","b","c","b"
"118","e","h","b","f","e","g","f","g","d","c","a","b","d","b","h","b"
"119","a","e","c","f","e","h","g","g","g","e","f","c","e","b","f","a"
"120","c","f","f","h","f","h","e","f","d","c","a","b","b","b","h","b"
"121","a","c","c","e","f","g","h","h","g","g","e","d","d","b","c","a"
"122","a","d","b","e","e","g","h","h","g","f","f","d","e","b","c","a"
"123","a","e","b","f","f","g","g","g","f","f","f","c","e","b","e","a"
"124","a","e","c","f","g","g","h","g","g","f","e","c","d","b","c","a"
"125","a","d","c","e","f","g","h","h","g","f","e","d","c","b","b","a"
"126","a","d","a","e","e","g","h","h","g","g","f","d","e","b","c","a"
"127","a","e","a","e","d","g","g","h","h","g","g","d","f","b","d","a"
"128","a","f","b","f","e","g","g","g","g","e","f","c","e","b","e","a"
"129","a","c","b","d","d","e","f","g","h","h","g","f","f","c","e","a"
"130","b","b","a","d","b","g","g","h","g","g","f","e","f","b","f","a"
"131","c","h","c","f","d","h","e","e","g","b","a","b","d","b","h","b"
"132","b","f","e","g","h","h","g","g","f","e","d","c","b","b","a","a"
"133","a","c","b","e","e","g","g","h","g","g","f","d","e","b","d","a"
"134","a","f","c","f","f","g","g","g","f","e","e","c","e","b","e","a"
"135","a","e","b","f","e","g","g","h","f","f","f","d","f","b","f","a"
"136","a","e","d","f","g","h","h","g","g","e","e","c","c","b","b","a"
"137","a","d","b","f","f","h","g","g","g","e","f","c","f","b","c","a"
"138","a","f","e","g","h","h","g","f","f","e","d","c","c","b","d","a"
"139","c","f","g","g","g","h","f","f","e","c","a","b","b","b","h","b"
"140","a","c","b","e","e","g","h","h","h","g","f","d","d","b","b","a"
"141","h","h","g","g","f","f","d","e","b","d","b","c","b","b","d","a"
"142","a","g","f","h","g","h","g","e","g","b","b","b","a","b","g","b"
"143","c","h","a","e","d","h","e","g","f","d","c","b","c","b","h","b"
"144","e","g","a","e","c","f","f","h","f","e","f","b","b","b","h","b"
"145","a","d","b","f","f","h","f","g","e","e","e","c","e","a","h","a"
"146","a","d","a","e","d","g","g","h","g","g","g","d","f","b","e","a"
"147","a","e","d","f","h","h","h","g","f","f","d","c","c","b","b","a"
"148","b","e","a","e","c","g","g","h","h","g","g","d","e","b","d","a"
"149","b","d","a","e","d","g","g","h","h","g","f","d","e","b","d","a"
"150","c","e","f","g","h","h","f","g","e","e","e","c","c","a","a","a"
"151","a","d","b","f","e","h","f","g","f","f","f","c","g","b","f","a"
"152","a","e","c","g","f","h","d","g","d","e","d","c","g","a","h","a"
"153","a","a","b","c","d","f","f","g","h","h","g","f","e","c","e","a"
"154","a","e","c","g","f","h","f","g","e","d","d","b","d","b","h","b"
"155","a","f","f","g","g","h","f","f","e","d","d","b","a","a","g","b"
"156","b","c","a","d","f","g","h","h","g","g","d","d","c","b","e","a"
"157","a","c","a","d","d","f","g","h","h","g","g","e","e","b","d","a"
"158","a","d","b","e","e","g","h","h","g","g","f","d","d","b","c","a"
"159","a","c","b","e","e","g","g","h","g","g","f","e","e","b","d","a"
"160","c","f","f","g","g","h","g","f","f","d","f","b","c","a","a","a"
"161","b","e","d","g","e","h","e","f","e","c","b","b","b","b","h","b"
"162","b","g","f","h","f","h","f","f","e","c","b","b","b","b","h","b"
"163","a","e","c","f","f","g","h","g","g","f","f","c","c","b","b","a"
"164","a","d","b","f","f","g","g","h","f","f","e","d","e","b","e","a"
"165","a","d","c","f","f","h","h","g","g","f","e","c","c","b","b","a"
"166","a","e","c","f","g","g","h","g","g","f","e","c","c","b","b","a"
"167","a","b","d","d","g","f","h","h","g","g","d","e","b","b","b","a"
"168","a","d","c","e","f","g","h","h","g","g","e","d","c","b","b","a"
"169","b","g","b","e","d","h","d","h","f","d","c","a","c","b","h","b"
"170","a","d","b","e","e","g","h","h","h","g","f","d","d","b","c","a"
"171","a","c","b","e","e","g","g","h","h","g","f","e","d","b","c","a"
"172","c","e","f","g","h","h","g","g","e","e","c","c","b","b","a","a"
"173","a","c","b","d","e","f","g","h","g","g","f","e","e","b","e","a"
"174","a","c","b","e","f","g","h","h","g","g","f","d","d","b","d","a"
"175","b","d","c","g","e","h","d","g","d","c","b","b","d","b","h","b"
"176","a","e","a","d","d","f","f","h","g","g","f","d","f","b","f","a"
"177","c","f","d","h","e","h","e","e","d","b","a","b","e","b","h","b"
"178","a","e","c","f","g","g","h","g","g","e","e","c","b","b","c","a"
"179","b","f","f","h","f","h","e","d","c","b","a","b","e","b","h","b"
"180","a","e","c","f","e","g","g","g","f","f","f","d","f","b","f","a"
"181","c","f","e","h","f","h","e","e","d","b","a","b","d","b","h","b"
"182","d","d","c","f","g","g","h","g","g","f","d","d","b","b","b","a"
"183","b","e","f","g","h","h","g","g","f","e","e","c","b","b","a","a"
"184","a","e","d","f","g","g","h","g","g","f","e","d","c","b","b","a"
"185","a","e","c","f","g","g","g","g","f","e","f","c","e","b","e","a"
"186","a","c","d","e","f","g","h","h","g","g","e","d","c","b","a","a"
"187","e","f","g","h","f","h","e","e","c","b","a","b","c","b","g","b"
"188","d","g","a","e","g","g","h","g","g","e","e","c","c","b","a","a"
"189","a","f","c","h","f","h","f","f","e","b","b","b","f","b","h","b"
"190","c","g","c","f","d","h","d","f","e","b","a","b","e","b","h","b"
"191","a","b","b","e","e","g","g","h","g","g","f","d","e","b","e","a"
"192","a","d","b","f","f","g","h","h","g","f","f","d","d","b","d","a"
"193","a","e","b","f","f","g","g","g","g","e","f","c","e","b","e","a"
"194","a","d","c","e","f","g","h","h","g","g","f","d","d","b","b","a"
"195","c","f","d","h","d","h","d","e","d","c","a","b","e","b","h","b"
"196","b","g","c","e","d","h","d","g","e","c","b","b","f","b","h","b"
"197","b","f","d","h","d","h","d","e","c","b","b","b","g","b","h","b"
"198","a","e","b","g","d","h","e","g","e","e","f","c","g","a","g","a"
"199","a","c","b","e","e","g","f","h","e","f","e","d","f","b","h","a"
"200","a","d","c","f","g","g","h","h","g","f","e","d","c","b","b","a"
"201","a","g","d","h","e","g","e","f","e","d","f","c","f","b","h","a"
"202","a","d","b","f","g","g","h","h","g","f","e","d","c","b","e","a"
"203","a","d","c","e","f","g","h","h","g","f","f","d","d","b","b","a"
"204","c","f","f","g","h","g","g","f","e","e","d","c","b","b","a","a"
"205","a","f","c","g","h","h","g","g","f","e","e","c","c","b","c","a"
"206","c","f","g","g","g","h","f","f","e","c","c","b","a","b","e","b"
"207","b","f","e","h","g","h","f","f","d","c","a","b","c","b","h","b"
"208","a","d","b","e","e","g","g","h","g","f","f","d","e","b","e","a"
"209","b","e","e","g","g","h","g","g","f","e","f","c","d","a","a","a"
"210","a","d","b","f","g","g","h","h","g","f","d","d","c","b","c","a"
"211","b","g","d","h","e","h","e","e","d","c","a","b","e","b","h","b"
"212","a","e","c","f","f","g","h","h","g","f","e","d","c","b","b","a"
"213","b","d","d","f","g","g","h","g","g","f","d","d","b","b","b","a"
"214","b","g","e","h","e","g","d","d","h","b","h","b","b","b","a","b"
"215","c","f","d","g","h","h","h","g","f","e","c","c","b","b","a","a"
"216","c","f","f","g","h","h","g","f","f","d","e","b","a","a","a","b"
"217","a","e","e","g","h","h","h","g","f","e","d","c","b","b","b","a"
"218","a","e","b","f","e","g","h","h","g","f","f","d","e","b","d","a"
"219","b","f","f","g","h","h","g","g","f","d","f","b","b","a","a","a"
"220","a","c","c","e","f","f","h","h","g","g","f","e","d","b","b","a"
"221","a","e","d","g","g","h","f","f","f","c","a","b","c","b","h","b"
"222","a","e","c","f","f","h","f","g","f","e","f","c","f","b","g","a"
"223","a","f","d","g","h","h","g","f","e","e","c","c","b","b","f","a"
"224","a","f","d","h","f","h","f","f","f","b","a","b","c","b","h","b"
"225","b","f","b","g","f","h","e","f","e","c","b","b","c","b","h","b"
"226","a","a","e","c","g","f","f","h","e","h","e","f","e","c","e","a"
"227","a","d","b","f","f","h","d","g","d","e","e","c","f","a","h","a"
"228","a","d","c","e","f","g","h","h","g","f","f","d","d","b","c","a"
"229","d","g","g","h","e","g","d","c","b","b","a","b","e","b","h","b"
"230","h","h","f","g","d","f","d","e","c","d","c","c","b","b","c","a"
"231","c","f","f","h","g","h","e","e","c","b","a","b","d","b","h","b"
"232","a","d","b","e","e","g","f","h","f","f","f","d","f","b","f","a"
"233","b","f","f","g","g","h","g","f","e","d","c","b","a","a","f","a"
"234","b","f","e","g","e","h","e","f","d","c","a","b","e","b","h","b"
"235","a","e","b","e","e","g","h","h","g","f","f","d","d","b","c","a"
"236","d","f","g","h","f","g","e","d","b","b","a","b","d","b","h","b"
"237","c","f","f","h","f","h","e","f","d","c","a","b","d","b","h","b"
"238","a","f","e","h","g","h","f","e","f","b","b","b","a","b","h","b"
"239","a","e","d","g","h","h","h","g","f","e","d","c","b","b","c","a"
"240","d","g","c","e","e","h","d","g","f","c","a","b","c","b","h","b"
"241","c","g","f","h","g","h","e","e","d","b","a","b","d","b","h","b"
"242","a","g","f","h","g","h","g","e","g","c","c","b","a","b","f","b"
"243","a","f","f","g","g","h","f","f","f","d","f","b","a","a","b","a"
"244","a","f","d","g","h","h","g","g","f","e","d","c","c","b","c","a"
"245","a","d","b","f","d","g","f","g","f","f","f","d","f","b","g","a"
"246","a","c","b","e","f","f","h","h","g","g","f","e","d","b","c","a"
"247","a","d","d","f","g","h","g","g","f","f","f","c","e","a","a","a"
"248","b","h","f","h","f","g","e","d","c","b","a","b","e","b","h","b"
"249","a","c","a","e","e","g","h","h","g","f","e","d","d","b","e","a"
"250","d","g","g","h","g","g","f","d","d","b","a","b","b","b","g","b"
"251","a","c","c","e","f","g","h","h","g","g","e","d","c","b","d","a"
"252","a","f","d","h","g","h","f","e","g","b","b","b","b","b","h","b"
"253","h","h","h","g","g","g","e","e","d","d","b","c","a","b","b","a"
"254","g","h","h","g","g","f","e","e","d","d","c","c","a","b","a","a"
"255","b","d","e","f","h","g","h","h","f","f","d","d","b","b","a","a"
"256","d","e","f","g","h","h","g","g","e","e","c","c","b","b","a","a"
"257","c","e","f","g","h","h","g","g","e","e","b","c","a","b","c","a"
"258","a","d","b","e","f","g","h","h","g","f","f","d","e","b","d","a"
"259","a","f","f","h","g","h","g","f","f","c","b","b","a","b","g","b"
"260","a","d","c","f","f","g","h","h","g","f","f","d","d","b","c","a"
"261","a","e","d","g","h","h","g","g","f","e","e","c","e","b","d","a"
"262","a","d","c","f","g","h","f","g","e","e","e","c","f","a","f","a"
"263","a","e","d","g","f","h","e","f","e","d","c","a","b","b","h","b"
"264","a","b","b","d","f","f","h","h","g","h","f","e","d","c","c","a"
"265","a","d","c","e","f","g","h","h","g","f","e","d","d","b","c","a"
"266","a","b","b","d","e","g","h","h","g","g","f","e","d","b","d","a"
"267","c","b","b","c","f","f","h","h","h","h","e","e","c","c","a","a"
"268","e","f","g","h","f","g","e","e","c","c","a","b","b","b","g","b"
"269","a","b","d","d","g","f","h","h","g","g","f","e","c","b","a","a"
"270","c","g","f","h","f","g","e","d","c","b","a","b","d","b","h","b"
"271","c","g","g","h","f","h","f","e","f","c","a","b","a","b","g","b"
"272","a","b","b","c","e","f","g","h","g","h","e","f","e","c","f","a"
"273","g","h","g","h","g","g","f","e","e","d","c","c","b","b","a","a"
"274","b","f","e","h","e","h","e","f","f","c","a","b","c","b","h","b"
"275","a","c","c","e","f","g","h","h","g","g","e","d","d","b","c","a"
"276","a","d","b","e","e","g","g","h","g","g","f","d","e","b","e","a"
"277","a","f","a","e","d","g","g","h","f","f","f","d","f","b","g","a"
"278","d","g","g","h","f","g","e","d","b","b","a","b","d","b","h","b"
"279","b","e","d","g","h","h","g","g","f","e","d","c","b","b","b","a"
"280","c","f","e","h","e","h","d","e","d","c","a","b","e","b","h","b"
"281","a","e","b","f","e","g","g","g","f","f","f","c","f","b","f","a"
"282","a","e","c","f","f","g","h","g","g","f","f","c","d","b","b","a"
"283","a","b","b","d","e","g","h","h","g","g","f","e","d","b","c","a"
"284","a","d","b","f","d","g","g","h","g","g","f","d","e","b","e","a"
"285","a","e","b","e","e","f","g","h","g","g","f","d","e","b","c","a"
"286","a","e","b","e","e","g","g","h","g","f","f","d","e","b","f","a"
"287","c","g","g","h","g","g","e","e","d","b","a","b","b","b","h","b"
"288","d","g","g","h","f","g","e","d","c","b","a","b","d","b","h","b"
"289","a","e","b","f","f","g","h","h","g","f","e","d","d","b","c","a"
"290","a","e","b","f","g","g","h","g","g","f","e","c","c","b","c","a"
"291","a","d","d","f","g","h","d","g","c","e","d","c","f","b","h","a"
"292","a","g","d","g","f","h","e","e","e","b","h","b","e","b","b","b"
"293","a","c","b","d","d","g","g","h","g","g","f","e","e","b","e","a"
"294","a","c","b","e","e","g","h","h","g","g","f","d","e","b","e","a"
"295","b","g","e","h","f","h","d","e","c","b","a","b","f","b","h","b"
"296","a","d","a","f","d","g","g","h","f","f","f","d","f","b","g","a"
"297","a","a","a","c","c","e","f","g","g","h","g","g","f","d","f","b"
"298","a","e","b","f","e","h","g","g","f","e","f","c","f","b","f","a"
"299","a","d","c","e","g","g","g","h","f","f","e","d","d","b","e","a"
"300","a","c","b","e","f","f","h","h","g","g","f","e","d","b","c","a"
"301","a","e","b","f","f","g","h","g","g","f","f","c","e","b","d","a"
"302","a","d","a","e","d","g","g","h","h","g","g","d","e","b","d","a"
"303","e","f","h","g","h","h","f","f","d","e","b","c","b","b","a","a"
"304","a","c","c","e","f","g","h","h","g","g","e","d","c","b","b","a"
"305","b","e","e","f","g","h","g","g","f","e","e","c","d","a","a","a"
"306","a","b","b","d","e","f","g","h","h","g","f","e","d","b","d","a"
"307","a","c","b","e","d","g","g","h","g","g","g","d","f","b","e","a"
"308","a","c","b","e","e","g","e","h","f","f","f","d","f","b","g","a"
"309","a","e","d","g","g","h","f","g","e","e","e","c","d","b","g","a"
"310","d","f","b","f","h","g","h","g","f","e","d","c","b","b","a","a"
"311","a","e","b","f","e","g","f","h","e","f","d","c","e","b","h","a"
"312","a","b","b","d","f","f","h","h","h","g","f","e","d","c","b","a"
"313","b","e","c","g","h","h","h","g","g","e","d","c","b","b","b","a"
"314","a","d","b","f","e","g","g","g","g","f","f","d","e","b","f","a"
"315","g","h","g","g","g","g","f","e","d","d","b","c","b","b","a","a"
"316","a","c","b","e","e","g","h","h","h","g","f","d","d","b","b","a"
"317","b","g","f","h","f","g","e","e","d","b","a","b","e","b","h","b"
